pokemon_species,ja-Hrkt,roomaji,ko,zh-Hant,fr,de,es,it,en,cs,ja,zh-Hans,pt-BR
nidoran-f,ニドラン♀,Nidoran♀,니드런♀,尼多蘭,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,"Nidoran♀, nidoran-f",,ニドラン♀,尼多兰,
nidorina,ニドリーナ,Nidorina,니드리나,尼多娜,Nidorina,Nidorina,Nidorina,Nidorina,"Nidorina, nidorina",,ニドリーナ,尼多娜,
nidoqueen,ニドクイン,Nidoqueen,니드퀸,尼多后,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,"Nidoqueen, nidoqueen",,ニドクイン,尼多后,
nidoran-m,ニドラン♂,Nidoran♂,니드런♂,尼多朗,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,"Nidoran♂, nidoran-m",,ニドラン♂,尼多朗,
nidorino,ニドリーノ,Nidorino,니드리노,尼多力諾,Nidorino,Nidorino,Nidorino,Nidorino,"Nidorino, nidorino",,ニドリーノ,尼多力诺,
nidoking,ニドキング,Nidoking,니드킹,尼多王,Nidoking,Nidoking,Nidoking,Nidoking,"Nidoking, nidoking",,ニドキング,尼多王,
clefairy,ピッピ,Pippi,삐삐,皮皮,Mélofée,Piepi,Clefairy,Clefairy,"Clefairy, clefairy",,ピッピ,皮皮,
clefable,ピクシー,Pixy,픽시,皮可西,Mélodelfe,Pixi,Clefable,Clefable,"Clefable, clefable",,ピクシー,皮可西,
vulpix,ロコン,Rokon,식스테일,六尾,Goupix,Vulpix,Vulpix,Vulpix,"Vulpix, vulpix, vulpix-alola",,ロコン,六尾,
ninetales,キュウコン,Kyukon,나인테일,九尾,Feunard,Vulnona,Ninetales,Ninetales,"Ninetales, ninetales, ninetales-alola",,キュウコン,九尾,
jigglypuff,プリン,Purin,푸린,胖丁,Rondoudou,Pummeluff,Jigglypuff,Jigglypuff,"Jigglypuff, jigglypuff",,プリン,胖丁,
wigglytuff,プクリン,Pukurin,푸크린,胖可丁,Grodoudou,Knuddeluff,Wigglytuff,Wigglytuff,"Wigglytuff, wigglytuff",,プクリン,胖可丁,
zubat,ズバット,Zubat,주뱃,超音蝠,Nosferapti,Zubat,Zubat,Zubat,"Zubat, zubat",,ズバット,超音蝠,
golbat,ゴルバット,Golbat,골뱃,大嘴蝠,Nosferalto,Golbat,Golbat,Golbat,"Golbat, golbat",,ゴルバット,大嘴蝠,
oddish,ナゾノクサ,Nazonokusa,뚜벅쵸,走路草,Mystherbe,Myrapla,Oddish,Oddish,"Oddish, oddish",,ナゾノクサ,走路草,
gloom,クサイハナ,Kusaihana,냄새꼬,臭臭花,Ortide,Duflor,Gloom,Gloom,"Gloom, gloom",,クサイハナ,臭臭花,
vileplume,ラフレシア,Ruffresia,라플레시아,霸王花,Rafflesia,Giflor,Vileplume,Vileplume,"Vileplume, vileplume",,ラフレシア,霸王花,
paras,パラス,Paras,파라스,派拉斯,Paras,Paras,Paras,Paras,"Paras, paras",,パラス,派拉斯,
parasect,パラセクト,Parasect,파라섹트,派拉斯特,Parasect,Parasek,Parasect,Parasect,"Parasect, parasect",,パラセクト,派拉斯特,
venonat,コンパン,Kongpang,콘팡,毛球,Mimitoss,Bluzuk,Venonat,Venonat,"Venonat, venonat",,コンパン,毛球,
venomoth,モルフォン,Morphon,도나리,摩魯蛾,Aéromite,Omot,Venomoth,Venomoth,"Venomoth, venomoth",,モルフォン,摩鲁蛾,
diglett,ディグダ,Digda,디그다,地鼠,Taupiqueur,Digda,Diglett,Diglett,"Diglett, diglett, diglett-alola",,ディグダ,地鼠,
dugtrio,ダグトリオ,Dugtrio,닥트리오,三地鼠,Triopikeur,Digdri,Dugtrio,Dugtrio,"Dugtrio, dugtrio, dugtrio-alola",,ダグトリオ,三地鼠,
meowth,ニャース,Nyarth,나옹,喵喵,Miaouss,Mauzi,Meowth,Meowth,"Meowth, meowth, meowth-alola, meowth-galar, meowth-gmax",,ニャース,喵喵,
persian,ペルシアン,Persian,페르시온,貓老大,Persian,Snobilikat,Persian,Persian,"Persian, persian, persian-alola",,ペルシアン,猫老大,
psyduck,コダック,Koduck,고라파덕,可達鴨,Psykokwak,Enton,Psyduck,Psyduck,"Psyduck, psyduck",,コダック,可达鸭,
golduck,ゴルダック,Golduck,골덕,哥達鴨,Akwakwak,Entoron,Golduck,Golduck,"Golduck, golduck",,ゴルダック,哥达鸭,
mankey,マンキー,Mankey,망키,猴怪,Férosinge,Menki,Mankey,Mankey,"Mankey, mankey",,マンキー,猴怪,
primeape,オコリザル,Okorizaru,성원숭,火爆猴,Colossinge,Rasaff,Primeape,Primeape,"Primeape, primeape",,オコリザル,火暴猴,
growlithe,ガーディ,Gardie,가디,卡蒂狗,Caninos,Fukano,Growlithe,Growlithe,"Growlithe, growlithe, growlithe-hisui",,ガーディ,卡蒂狗,
arcanine,ウインディ,Windie,윈디,風速狗,Arcanin,Arkani,Arcanine,Arcanine,"Arcanine, arcanine, arcanine-hisui",,ウインディ,风速狗,
poliwag,ニョロモ,Nyoromo,발챙이,蚊香蝌蚪,Ptitard,Quapsel,Poliwag,Poliwag,"Poliwag, poliwag",,ニョロモ,蚊香蝌蚪,
poliwhirl,ニョロゾ,Nyorozo,슈륙챙이,蚊香君,Têtarte,Quaputzi,Poliwhirl,Poliwhirl,"Poliwhirl, poliwhirl",,ニョロゾ,蚊香君,
poliwrath,ニョロボン,Nyorobon,강챙이,蚊香泳士,Tartard,Quappo,Poliwrath,Poliwrath,"Poliwrath, poliwrath",,ニョロボン,蚊香泳士,
abra,ケーシィ,Casey,캐이시,凱西,Abra,Abra,Abra,Abra,"Abra, abra",,ケーシィ,凯西,
kadabra,ユンゲラー,Yungerer,윤겔라,勇基拉,Kadabra,Kadabra,Kadabra,Kadabra,"Kadabra, kadabra",,ユンゲラー,勇基拉,
alakazam,フーディン,Foodin,후딘,胡地,Alakazam,Simsala,Alakazam,Alakazam,"Alakazam, alakazam, alakazam-mega",,フーディン,胡地,
machop,ワンリキー,Wanriky,알통몬,腕力,Machoc,Machollo,Machop,Machop,"Machop, machop",,ワンリキー,腕力,
machoke,ゴーリキー,Goriky,근육몬,豪力,Machopeur,Maschock,Machoke,Machoke,"Machoke, machoke",,ゴーリキー,豪力,
machamp,カイリキー,Kairiky,괴력몬,怪力,Mackogneur,Machomei,Machamp,Machamp,"Machamp, machamp, machamp-gmax",,カイリキー,怪力,
bellsprout,マダツボミ,Madatsubomi,모다피,喇叭芽,Chétiflor,Knofensa,Bellsprout,Bellsprout,"Bellsprout, bellsprout",,マダツボミ,喇叭芽,
weepinbell,ウツドン,Utsudon,우츠동,口呆花,Boustiflor,Ultrigaria,Weepinbell,Weepinbell,"Weepinbell, weepinbell",,ウツドン,口呆花,
victreebel,ウツボット,Utsubot,우츠보트,大食花,Empiflor,Sarzenia,Victreebel,Victreebel,"Victreebel, victreebel",,ウツボット,大食花,
tentacool,メノクラゲ,Menokurage,왕눈해,瑪瑙水母,Tentacool,Tentacha,Tentacool,Tentacool,"Tentacool, tentacool",,メノクラゲ,玛瑙水母,
tentacruel,ドククラゲ,Dokukurage,독파리,毒刺水母,Tentacruel,Tentoxa,Tentacruel,Tentacruel,"Tentacruel, tentacruel",,ドククラゲ,毒刺水母,
geodude,イシツブテ,Isitsubute,꼬마돌,小拳石,Racaillou,Kleinstein,Geodude,Geodude,"Geodude, geodude, geodude-alola",,イシツブテ,小拳石,
graveler,ゴローン,Golone,데구리,隆隆石,Gravalanch,Georok,Graveler,Graveler,"Graveler, graveler, graveler-alola",,ゴローン,隆隆石,
golem,ゴローニャ,Golonya,딱구리,隆隆岩,Grolem,Geowaz,Golem,Golem,"Golem, golem, golem-alola",,ゴローニャ,隆隆岩,
ponyta,ポニータ,Ponyta,포니타,小火馬,Ponyta,Ponita,Ponyta,Ponyta,"Ponyta, ponyta, ponyta-galar",,ポニータ,小火马,
rapidash,ギャロップ,Gallop,날쌩마,烈焰馬,Galopa,Gallopa,Rapidash,Rapidash,"Rapidash, rapidash, rapidash-galar",,ギャロップ,烈焰马,
slowpoke,ヤドン,Yadon,야돈,呆呆獸,Ramoloss,Flegmon,Slowpoke,Slowpoke,"Slowpoke, slowpoke, slowpoke-galar",,ヤドン,呆呆兽,
slowbro,ヤドラン,Yadoran,야도란,呆殼獸,Flagadoss,Lahmus,Slowbro,Slowbro,"Slowbro, slowbro, slowbro-galar, slowbro-mega",,ヤドラン,呆壳兽,
magnemite,コイル,Coil,코일,小磁怪,Magnéti,Magnetilo,Magnemite,Magnemite,"Magnemite, magnemite",,コイル,小磁怪,
magneton,レアコイル,Rarecoil,레어코일,三合一磁怪,Magnéton,Magneton,Magneton,Magneton,"Magneton, magneton",,レアコイル,三合一磁怪,
farfetchd,カモネギ,Kamonegi,파오리,大蔥鴨,Canarticho,Porenta,Farfetch’d,Farfetch’d,"Farfetch’d, farfetchd, farfetchd-galar",,カモネギ,大葱鸭,
doduo,ドードー,Dodo,두두,嘟嘟,Doduo,Dodu,Doduo,Doduo,"Doduo, doduo",,ドードー,嘟嘟,
dodrio,ドードリオ,Dodorio,두트리오,嘟嘟利,Dodrio,Dodri,Dodrio,Dodrio,"Dodrio, dodrio",,ドードリオ,嘟嘟利,
seel,パウワウ,Pawou,쥬쥬,小海獅,Otaria,Jurob,Seel,Seel,"Seel, seel",,パウワウ,小海狮,
dewgong,ジュゴン,Jugon,쥬레곤,白海獅,Lamantine,Jugong,Dewgong,Dewgong,"Dewgong, dewgong",,ジュゴン,白海狮,
grimer,ベトベター,Betbeter,질퍽이,臭泥,Tadmorv,Sleima,Grimer,Grimer,"Grimer, grimer, grimer-alola",,ベトベター,臭泥,
muk,ベトベトン,Betbeton,질뻐기,臭臭泥,Grotadmorv,Sleimok,Muk,Muk,"Muk, muk, muk-alola",,ベトベトン,臭臭泥,
shellder,シェルダー,Shellder,셀러,大舌貝,Kokiyas,Muschas,Shellder,Shellder,"Shellder, shellder",,シェルダー,大舌贝,
cloyster,パルシェン,Parshen,파르셀,刺甲貝,Crustabri,Austos,Cloyster,Cloyster,"Cloyster, cloyster",,パルシェン,刺甲贝,
gastly,ゴース,Ghos,고오스,鬼斯,Fantominus,Nebulak,Gastly,Gastly,"Gastly, gastly",,ゴース,鬼斯,
haunter,ゴースト,Ghost,고우스트,鬼斯通,Spectrum,Alpollo,Haunter,Haunter,"Haunter, haunter",,ゴースト,鬼斯通,
gengar,ゲンガー,Gangar,팬텀,耿鬼,Ectoplasma,Gengar,Gengar,Gengar,"Gengar, gengar, gengar-gmax, gengar-mega",,ゲンガー,耿鬼,
onix,イワーク,Iwark,롱스톤,大岩蛇,Onix,Onix,Onix,Onix,"Onix, onix",,イワーク,大岩蛇,
drowzee,スリープ,Sleep,슬리프,催眠貘,Soporifik,Traumato,Drowzee,Drowzee,"Drowzee, drowzee",,スリープ,催眠貘,
hypno,スリーパー,Sleeper,슬리퍼,引夢貘人,Hypnomade,Hypno,Hypno,Hypno,"Hypno, hypno",,スリーパー,引梦貘人,
krabby,クラブ,Crab,크랩,大鉗蟹,Krabby,Krabby,Krabby,Krabby,"Krabby, krabby",,クラブ,大钳蟹,
kingler,キングラー,Kingler,킹크랩,巨鉗蟹,Krabboss,Kingler,Kingler,Kingler,"Kingler, kingler, kingler-gmax",,キングラー,巨钳蟹,
voltorb,ビリリダマ,Biriridama,찌리리공,霹靂電球,Voltorbe,Voltobal,Voltorb,Voltorb,"Voltorb, voltorb, voltorb-hisui",,ビリリダマ,霹雳电球,
electrode,マルマイン,Marumine,붐볼,頑皮雷彈,Électrode,Lektrobal,Electrode,Electrode,"Electrode, electrode, electrode-hisui",,マルマイン,顽皮雷弹,
exeggcute,タマタマ,Tamatama,아라리,蛋蛋,Noeunoeuf,Owei,Exeggcute,Exeggcute,"Exeggcute, exeggcute",,タマタマ,蛋蛋,
exeggutor,ナッシー,Nassy,나시,椰蛋樹,Noadkoko,Kokowei,Exeggutor,Exeggutor,"Exeggutor, exeggutor, exeggutor-alola",,ナッシー,椰蛋树,
cubone,カラカラ,Karakara,탕구리,卡拉卡拉,Osselait,Tragosso,Cubone,Cubone,"Cubone, cubone",,カラカラ,卡拉卡拉,
marowak,ガラガラ,Garagara,텅구리,嘎啦嘎啦,Ossatueur,Knogga,Marowak,Marowak,"Marowak, marowak, marowak-alola, marowak-totem",,ガラガラ,嘎啦嘎啦,
hitmonlee,サワムラー,Sawamular,시라소몬,飛腿郎,Kicklee,Kicklee,Hitmonlee,Hitmonlee,"Hitmonlee, hitmonlee",,サワムラー,飞腿郎,
hitmonchan,エビワラー,Ebiwalar,홍수몬,快拳郎,Tygnon,Nockchan,Hitmonchan,Hitmonchan,"Hitmonchan, hitmonchan",,エビワラー,快拳郎,
lickitung,ベロリンガ,Beroringa,내루미,大舌頭,Excelangue,Schlurp,Lickitung,Lickitung,"Lickitung, lickitung",,ベロリンガ,大舌头,
koffing,ドガース,Dogars,또가스,瓦斯彈,Smogo,Smogon,Koffing,Koffing,"Koffing, koffing",,ドガース,瓦斯弹,
weezing,マタドガス,Matadogas,또도가스,雙彈瓦斯,Smogogo,Smogmog,Weezing,Weezing,"Weezing, weezing, weezing-galar",,マタドガス,双弹瓦斯,
rhyhorn,サイホーン,Sihorn,뿔카노,獨角犀牛,Rhinocorne,Rihorn,Rhyhorn,Rhyhorn,"Rhyhorn, rhyhorn",,サイホーン,独角犀牛,
rhydon,サイドン,Sidon,코뿌리,鑽角犀獸,Rhinoféros,Rizeros,Rhydon,Rhydon,"Rhydon, rhydon",,サイドン,钻角犀兽,
chansey,ラッキー,Lucky,럭키,吉利蛋,Leveinard,Chaneira,Chansey,Chansey,"Chansey, chansey",,ラッキー,吉利蛋,
tangela,モンジャラ,Monjara,덩쿠리,蔓藤怪,Saquedeneu,Tangela,Tangela,Tangela,"Tangela, tangela",,モンジャラ,蔓藤怪,
kangaskhan,ガルーラ,Garura,캥카,袋獸,Kangourex,Kangama,Kangaskhan,Kangaskhan,"Kangaskhan, kangaskhan, kangaskhan-mega",,ガルーラ,袋兽,
horsea,タッツー,Tattu,쏘드라,墨海馬,Hypotrempe,Seeper,Horsea,Horsea,"Horsea, horsea",,タッツー,墨海马,
seadra,シードラ,Seadra,시드라,海刺龍,Hypocéan,Seemon,Seadra,Seadra,"Seadra, seadra",,シードラ,海刺龙,
goldeen,トサキント,Tosakinto,콘치,角金魚,Poissirène,Goldini,Goldeen,Goldeen,"Goldeen, goldeen",,トサキント,角金鱼,
seaking,アズマオウ,Azumao,왕콘치,金魚王,Poissoroy,Golking,Seaking,Seaking,"Seaking, seaking",,アズマオウ,金鱼王,
staryu,ヒトデマン,Hitodeman,별가사리,海星星,Stari,Sterndu,Staryu,Staryu,"Staryu, staryu",,ヒトデマン,海星星,
starmie,スターミー,Starmie,아쿠스타,寶石海星,Staross,Starmie,Starmie,Starmie,"Starmie, starmie",,スターミー,宝石海星,
mr-mime,バリヤード,Barrierd,마임맨,魔牆人偶,M. Mime,Pantimos,Mr. Mime,Mr. Mime,"Mr. Mime, mr-mime, mr-mime-galar",,バリヤード,魔墙人偶,
scyther,ストライク,Strike,스라크,飛天螳螂,Insécateur,Sichlor,Scyther,Scyther,"Scyther, scyther",,ストライク,飞天螳螂,
jynx,ルージュラ,Rougela,루주라,迷唇姐,Lippoutou,Rossana,Jynx,Jynx,"Jynx, jynx",,ルージュラ,迷唇姐,
electabuzz,エレブー,Eleboo,에레브,電擊獸,Élektek,Elektek,Electabuzz,Electabuzz,"Electabuzz, electabuzz",,エレブー,电击兽,
magmar,ブーバー,Boober,마그마,鴨嘴火獸,Magmar,Magmar,Magmar,Magmar,"Magmar, magmar",,ブーバー,鸭嘴火兽,
pinsir,カイロス,Kailios,쁘사이저,凱羅斯,Scarabrute,Pinsir,Pinsir,Pinsir,"Pinsir, pinsir, pinsir-mega",,カイロス,凯罗斯,
tauros,ケンタロス,Kentauros,켄타로스,肯泰羅,Tauros,Tauros,Tauros,Tauros,"Tauros, tauros, tauros-paldea-aqua-breed, tauros-paldea-blaze-breed, tauros-paldea-combat-breed",,ケンタロス,肯泰罗,
magikarp,コイキング,Koiking,잉어킹,鯉魚王,Magicarpe,Karpador,Magikarp,Magikarp,"Magikarp, magikarp",,コイキング,鲤鱼王,
gyarados,ギャラドス,Gyarados,갸라도스,暴鯉龍,Léviator,Garados,Gyarados,Gyarados,"Gyarados, gyarados, gyarados-mega",,ギャラドス,暴鲤龙,
lapras,ラプラス,Laplace,라프라스,拉普拉斯,Lokhlass,Lapras,Lapras,Lapras,"Lapras, lapras, lapras-gmax",,ラプラス,拉普拉斯,
ditto,メタモン,Metamon,메타몽,百變怪,Métamorph,Ditto,Ditto,Ditto,"Ditto, ditto",,メタモン,百变怪,
eevee,イーブイ,Eievui,이브이,伊布,Évoli,Evoli,Eevee,Eevee,"Eevee, eevee, eevee-gmax, eevee-starter",,イーブイ,伊布,
vaporeon,シャワーズ,Showers,샤미드,水伊布,Aquali,Aquana,Vaporeon,Vaporeon,"Vaporeon, vaporeon",,シャワーズ,水伊布,
jolteon,サンダース,Thunders,쥬피썬더,雷伊布,Voltali,Blitza,Jolteon,Jolteon,"Jolteon, jolteon",,サンダース,雷伊布,
flareon,ブースター,Booster,부스터,火伊布,Pyroli,Flamara,Flareon,Flareon,"Flareon, flareon",,ブースター,火伊布,
porygon,ポリゴン,Porygon,폴리곤,多邊獸,Porygon,Porygon,Porygon,Porygon,"Porygon, porygon",,ポリゴン,多边兽,
omanyte,オムナイト,Omnite,암나이트,菊石獸,Amonita,Amonitas,Omanyte,Omanyte,"Omanyte, omanyte",,オムナイト,菊石兽,
omastar,オムスター,Omstar,암스타,多刺菊石獸,Amonistar,Amoroso,Omastar,Omastar,"Omastar, omastar",,オムスター,多刺菊石兽,
kabuto,カブト,Kabuto,투구,化石盔,Kabuto,Kabuto,Kabuto,Kabuto,"Kabuto, kabuto",,カブト,化石盔,
kabutops,カブトプス,Kabutops,투구푸스,鐮刀盔,Kabutops,Kabutops,Kabutops,Kabutops,"Kabutops, kabutops",,カブトプス,镰刀盔,
aerodactyl,プテラ,Ptera,프테라,化石翼龍,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,"Aerodactyl, aerodactyl, aerodactyl-mega",,プテラ,化石翼龙,
snorlax,カビゴン,Kabigon,잠만보,卡比獸,Ronflex,Relaxo,Snorlax,Snorlax,"Snorlax, snorlax, snorlax-gmax",,カビゴン,卡比兽,
articuno,フリーザー,Freezer,프리져,急凍鳥,Artikodin,Arktos,Articuno,Articuno,"Articuno, articuno, articuno-galar",,フリーザー,急冻鸟,
zapdos,サンダー,Thunder,썬더,閃電鳥,Électhor,Zapdos,Zapdos,Zapdos,"Zapdos, zapdos, zapdos-galar",,サンダー,闪电鸟,
moltres,ファイヤー,Fire,파이어,火焰鳥,Sulfura,Lavados,Moltres,Moltres,"Moltres, moltres, moltres-galar",,ファイヤー,火焰鸟,
dratini,ミニリュウ,Miniryu,미뇽,迷你龍,Minidraco,Dratini,Dratini,Dratini,"Dratini, dratini",,ミニリュウ,迷你龙,
dragonair,ハクリュー,Hakuryu,신뇽,哈克龍,Draco,Dragonir,Dragonair,Dragonair,"Dragonair, dragonair",,ハクリュー,哈克龙,
dragonite,カイリュー,Kairyu,망나뇽,快龍,Dracolosse,Dragoran,Dragonite,Dragonite,"Dragonite, dragonite",,カイリュー,快龙,
mewtwo,ミュウツー,Mewtwo,뮤츠,超夢,Mewtwo,Mewtu,Mewtwo,Mewtwo,"Mewtwo, mewtwo, mewtwo-mega-x, mewtwo-mega-y",,ミュウツー,超梦,
mew,ミュウ,Mew,뮤,夢幻,Mew,Mew,Mew,Mew,"Mew, mew",,ミュウ,梦幻,
chikorita,チコリータ,Chicorita,치코리타,菊草葉,Germignon,Endivie,Chikorita,Chikorita,"Chikorita, chikorita",,チコリータ,菊草叶,
bayleef,ベイリーフ,Bayleaf,베이리프,月桂葉,Macronium,Lorblatt,Bayleef,Bayleef,"Bayleef, bayleef",,ベイリーフ,月桂叶,
meganium,メガニウム,Meganium,메가니움,大竺葵,Méganium,Meganie,Meganium,Meganium,"Meganium, meganium",,メガニウム,大竺葵,
cyndaquil,ヒノアラシ,Hinoarashi,브케인,火球鼠,Héricendre,Feurigel,Cyndaquil,Cyndaquil,"Cyndaquil, cyndaquil",,ヒノアラシ,火球鼠,
quilava,マグマラシ,Magmarashi,마그케인,火岩鼠,Feurisson,Igelavar,Quilava,Quilava,"Quilava, quilava",,マグマラシ,火岩鼠,
typhlosion,バクフーン,Bakphoon,블레이범,火爆獸,Typhlosion,Tornupto,Typhlosion,Typhlosion,"Typhlosion, typhlosion, typhlosion-hisui",,バクフーン,火暴兽,
totodile,ワニノコ,Waninoko,리아코,小鋸鱷,Kaiminus,Karnimani,Totodile,Totodile,"Totodile, totodile",,ワニノコ,小锯鳄,
croconaw,アリゲイツ,Alligates,엘리게이,藍鱷,Crocrodil,Tyracroc,Croconaw,Croconaw,"Croconaw, croconaw",,アリゲイツ,蓝鳄,
feraligatr,オーダイル,Ordile,장크로다일,大力鱷,Aligatueur,Impergator,Feraligatr,Feraligatr,"Feraligatr, feraligatr",,オーダイル,大力鳄,
sentret,オタチ,Otachi,꼬리선,尾立,Fouinette,Wiesor,Sentret,Sentret,"Sentret, sentret",,オタチ,尾立,
furret,オオタチ,Ootachi,다꼬리,大尾立,Fouinar,Wiesenior,Furret,Furret,"Furret, furret",,オオタチ,大尾立,
hoothoot,ホーホー,Hoho,부우부,咕咕,Hoothoot,Hoothoot,Hoothoot,Hoothoot,"Hoothoot, hoothoot",,ホーホー,咕咕,
noctowl,ヨルノズク,Yorunozuku,야부엉,貓頭夜鷹,Noarfang,Noctuh,Noctowl,Noctowl,"Noctowl, noctowl",,ヨルノズク,猫头夜鹰,
ledyba,レディバ,Rediba,레디바,芭瓢蟲,Coxy,Ledyba,Ledyba,Ledyba,"Ledyba, ledyba",,レディバ,芭瓢虫,
ledian,レディアン,Redian,레디안,安瓢蟲,Coxyclaque,Ledian,Ledian,Ledian,"Ledian, ledian",,レディアン,安瓢虫,
spinarak,イトマル,Itomaru,페이검,圓絲蛛,Mimigal,Webarak,Spinarak,Spinarak,"Spinarak, spinarak",,イトマル,圆丝蛛,
ariados,アリアドス,Ariados,아리아도스,阿利多斯,Migalos,Ariados,Ariados,Ariados,"Ariados, ariados",,アリアドス,阿利多斯,
crobat,クロバット,Crobat,크로뱃,叉字蝠,Nostenfer,Iksbat,Crobat,Crobat,"Crobat, crobat",,クロバット,叉字蝠,
chinchou,チョンチー,Chonchie,초라기,燈籠魚,Loupio,Lampi,Chinchou,Chinchou,"Chinchou, chinchou",,チョンチー,灯笼鱼,
