id,name,rarity,region
124,jynx,common,kanto
125,electabuzz,common,kanto
126,magmar,common,kanto
127,pinsir,common,kanto
128,tauros,common,kanto
129,magikarp,common,kanto
130,gyarados,common,kanto
131,lapras,common,kanto
132,ditto,common,kanto
133,eevee,common,kanto
134,vaporeon,common,kanto
135,jolteon,common,kanto
136,flareon,common,kanto
137,porygon,common,kanto
138,omanyte,common,kanto
139,omastar,common,kanto
140,kabuto,common,kanto
141,kabutops,common,kanto
142,aerodactyl,common,kanto
143,snorlax,common,kanto
144,articuno,legendary,kanto
145,zapdos,legendary,kanto
146,moltres,legendary,kanto
147,dratini,common,kanto
148,dragonair,common,kanto
149,dragonite,common,kanto
150,mewtwo,legendary,kanto
151,mew,mythical,kanto
152,chikorita,common,johto
153,bayleef,common,johto
154,meganium,common,johto
155,cyndaquil,common,johto
156,quilava,common,johto
157,typhlosion,common,johto
158,totodile,common,johto
159,croconaw,common,johto
160,feraligatr,common,johto
161,sentret,common,johto
162,furret,common,johto
163,hoothoot,common,johto
164,noctowl,common,johto
165,ledyba,common,johto
166,ledian,common,johto
167,spinarak,common,johto
168,ariados,common,johto
169,crobat,common,johto
170,chinchou,common,johto
171,lanturn,common,johto
172,pichu,common,johto
173,cleffa,common,johto
174,igglybuff,common,johto
175,togepi,common,johto
176,togetic,common,johto
177,natu,common,johto
178,xatu,common,johto
179,mareep,common,johto
180,flaaffy,common,johto
181,ampharos,common,johto
182,bellossom,common,johto
183,marill,common,johto
184,azumarill,common,johto
185,sudowoodo,common,johto
186,politoed,common,johto
187,hoppip,common,johto
188,skiploom,common,johto
189,jumpluff,common,johto
190,aipom,common,johto
191,sunkern,common,johto
192,sunflora,common,johto
193,yanma,common,johto
194,wooper,common,johto
195,quagsire,common,johto
196,espeon,common,johto
197,umbreon,common,johto
198,murkrow,common,johto
199,slowking,common,johto
200,misdreavus,common,johto
201,unown,common,johto
202,wobbuffet,common,johto
203,girafarig,common,johto
204,pineco,common,johto
205,forretress,common,johto
206,dunsparce,common,johto
207,gligar,common,johto
208,steelix,common,johto
209,snubbull,common,johto
210,granbull,common,johto
211,qwilfish,common,johto
212,scizor,common,johto
213,shuckle,common,johto
214,heracross,common,johto
215,sneasel,common,johto
216,teddiursa,common,johto
217,ursaring,common,johto
218,slugma,common,johto
219,magcargo,common,johto
220,swinub,common,johto
221,piloswine,common,johto
222,corsola,common,johto
223,remoraid,common,johto
224,octillery,common,johto
225,delibird,common,johto
226,mantine,common,johto
227,skarmory,common,johto
228,houndour,common,johto
229,houndoom,common,johto
230,kingdra,common,johto
231,phanpy,common,johto
232,donphan,common,johto
233,porygon2,common,johto
234,stantler,common,johto
235,smeargle,common,johto
236,tyrogue,common,johto
237,hitmontop,common,johto
238,smoochum,common,johto
239,elekid,common,johto
240,magby,common,johto
241,miltank,common,johto
242,blissey,common,johto
243,raikou,legendary,johto
244,entei,legendary,johto
245,suicune,legendary,johto
246,larvitar,common,johto
247,pupitar,common,johto
248,tyranitar,common,johto
249,lugia,legendary,johto
250,ho-oh,legendary,johto
251,celebi,mythical,johto
252,treecko,common,hoenn
253,grovyle,common,hoenn
254,sceptile,common,hoenn
255,torchic,common,hoenn
256,combusken,common,hoenn
257,blaziken,common,hoenn
258,mudkip,common,hoenn
259,marshtomp,common,hoenn
260,swampert,common,hoenn
261,poochyena,common,hoenn
262,mightyena,common,hoenn
263,zigzagoon,common,hoenn
264,linoone,common,hoenn
265,wurmple,common,hoenn
266,silcoon,common,hoenn
267,beautifly,common,hoenn
268,cascoon,common,hoenn
269,dustox,common,hoenn
270,lotad,common,hoenn
271,lombre,common,hoenn
272,ludicolo,common,hoenn
273,seedot,common,hoenn
274,nuzleaf,common,hoenn
275,shiftry,common,hoenn
276,taillow,common,hoenn
277,swellow,common,hoenn
278,wingull,common,hoenn
279,pelipper,common,hoenn
280,ralts,common,hoenn
281,kirlia,common,hoenn
282,gardevoir,common,hoenn
283,surskit,common,hoenn
284,masquerain,common,hoenn
285,shroomish,common,hoenn
286,breloom,common,hoenn
287,slakoth,common,hoenn
288,vigoroth,common,hoenn
289,slaking,common,hoenn
290,nincada,common,hoenn
291,ninjask,common,hoenn
292,shedinja,common,hoenn
293,whismur,common,hoenn
294,loudred,common,hoenn
295,exploud,common,hoenn
296,makuhita,common,hoenn
297,hariyama,common,hoenn
298,azurill,common,hoenn
299,nosepass,common,hoenn
300,skitty,common,hoenn
301,delcatty,common,hoenn
302,sableye,common,hoenn
303,mawile,common,hoenn
304,aron,common,hoenn
305,lairon,common,hoenn
306,aggron,common,hoenn
307,meditite,common,hoenn
308,medicham,common,hoenn
309,electrike,common,hoenn
310,manectric,common,hoenn
311,plusle,common,hoenn
312,minun,common,hoenn
313,volbeat,common,hoenn
314,illumise,common,hoenn
315,roselia,common,hoenn
316,gulpin,common,hoenn
317,swalot,common,hoenn
318,carvanha,common,hoenn
319,sharpedo,common,hoenn
320,wailmer,common,hoenn
321,wailord,common,hoenn
322,numel,common,hoenn
323,camerupt,common,hoenn
324,torkoal,common,hoenn
325,spoink,common,hoenn
326,grumpig,common,hoenn
327,spinda,common,hoenn
328,trapinch,common,hoenn
329,vibrava,common,hoenn
330,flygon,common,hoenn
331,cacnea,common,hoenn
332,cacturne,common,hoenn
333,swablu,common,hoenn
334,altaria,common,hoenn
335,zangoose,common,hoenn
336,seviper,common,hoenn
337,lunatone,common,hoenn
338,solrock,common,hoenn
339,barboach,common,hoenn
340,whiscash,common,hoenn
341,corphish,common,hoenn
342,crawdaunt,common,hoenn
343,baltoy,common,hoenn
344,claydol,common,hoenn
345,lileep,common,hoenn
346,cradily,common,hoenn
347,anorith,common,hoenn
348,armaldo,common,hoenn
349,feebas,common,hoenn
350,milotic,common,hoenn
351,castform,common,hoenn
352,kecleon,common,hoenn
353,shuppet,common,hoenn
354,banette,common,hoenn
355,duskull,common,hoenn
356,dusclops,common,hoenn
357,tropius,common,hoenn
358,chimecho,common,hoenn
359,absol,common,hoenn
360,wynaut,common,hoenn
361,snorunt,common,hoenn
362,glalie,common,hoenn
363,spheal,common,hoenn
364,sealeo,common,hoenn
365,walrein,common,hoenn
366,clamperl,common,hoenn
367,huntail,common,hoenn
368,gorebyss,common,hoenn
369,relicanth,common,hoenn
370,luvdisc,common,hoenn
371,bagon,common,hoenn
372,shelgon,common,hoenn
373,salamence,common,hoenn
374,beldum,common,hoenn
375,metang,common,hoenn
376,metagross,common,hoenn
377,regirock,legendary,hoenn
378,regice,legendary,hoenn
379,registeel,legendary,hoenn
380,latias,legendary,hoenn
381,latios,legendary,hoenn
382,kyogre,legendary,hoenn
383,groudon,legendary,hoenn
384,rayquaza,legendary,hoenn
385,jirachi,mythical,hoenn
386,deoxys,mythical,hoenn
387,turtwig,common,sinnoh
388,grotle,common,sinnoh
389,torterra,common,sinnoh
390,chimchar,common,sinnoh
391,monferno,common,sinnoh
392,infernape,common,sinnoh
393,piplup,common,sinnoh
394,prinplup,common,sinnoh
395,empoleon,common,sinnoh
396,starly,common,sinnoh
397,staravia,common,sinnoh
398,staraptor,common,sinnoh
399,bidoof,common,sinnoh
400,bibarel,common,sinnoh
401,kricketot,common,sinnoh
402,kricketune,common,sinnoh
403,shinx,common,sinnoh
404,luxio,common,sinnoh
405,luxray,common,sinnoh
406,budew,common,sinnoh
407,roserade,common,sinnoh
408,cranidos,common,sinnoh
409,rampardos,common,sinnoh
410,shieldon,common,sinnoh
411,bastiodon,common,sinnoh
412,burmy,common,sinnoh
413,wormadam,common,sinnoh
414,mothim,common,sinnoh
415,combee,common,sinnoh
416,vespiquen,common,sinnoh
417,pachirisu,common,sinnoh
418,buizel,common,sinnoh
419,floatzel,common,sinnoh
420,cherubi,common,sinnoh
421,cherrim,common,sinnoh
422,shellos,common,sinnoh
423,gastrodon,common,sinnoh
424,ambipom,common,sinnoh
425,drifloon,common,sinnoh
426,drifblim,common,sinnoh
427,buneary,common,sinnoh
428,lopunny,common,sinnoh
429,mismagius,common,sinnoh
430,honchkrow,common,sinnoh
431,glameow,common,sinnoh
432,purugly,common,sinnoh
433,chingling,common,sinnoh
434,stunky,common,sinnoh
435,skuntank,common,sinnoh
436,bronzor,common,sinnoh
437,bronzong,common,sinnoh
438,bonsly,common,sinnoh
439,mime-jr,common,sinnoh
440,happiny,common,sinnoh
441,chatot,common,sinnoh
442,spiritomb,common,sinnoh
443,gible,common,sinnoh
444,gabite,common,sinnoh
445,garchomp,common,sinnoh
446,munchlax,common,sinnoh
447,riolu,common,sinnoh
448,lucario,common,sinnoh
449,hippopotas,common,sinnoh
450,hippowdon,common,sinnoh
451,skorupi,common,sinnoh
452,drapion,common,sinnoh
453,croagunk,common,sinnoh
454,toxicroak,common,sinnoh
455,carnivine,common,sinnoh
456,finneon,common,sinnoh
457,lumineon,common,sinnoh
458,mantyke,common,sinnoh
459,snover,common,sinnoh
460,abomasnow,common,sinnoh
461,weavile,common,sinnoh
462,magnezone,common,sinnoh
463,lickilicky,common,sinnoh
464,rhyperior,common,sinnoh
465,tangrowth,common,sinnoh
466,electivire,common,sinnoh
467,magmortar,common,sinnoh
468,togekiss,common,sinnoh
469,yanmega,common,sinnoh
470,leafeon,common,sinnoh
471,glaceon,common,sinnoh
472,gliscor,common,sinnoh
473,mamoswine,common,sinnoh
474,porygon-z,common,sinnoh
475,gallade,common,sinnoh
476,probopass,common,sinnoh
477,dusknoir,common,sinnoh
478,froslass,common,sinnoh
479,rotom,common,sinnoh
480,uxie,legendary,sinnoh
481,mesprit,legendary,sinnoh
482,azelf,legendary,sinnoh
483,dialga,legendary,sinnoh
484,palkia,legendary,sinnoh
485,heatran,legendary,sinnoh
486,regigigas,legendary,sinnoh
487,giratina,legendary,sinnoh
488,cresselia,legendary,sinnoh
489,phione,mythical,sinnoh
490,manaphy,mythical,sinnoh
491,darkrai,mythical,sinnoh
492,shaymin,mythical,sinnoh
493,arceus,mythical,sinnoh
494,victini,mythical,unova
495,snivy,common,unova
496,servine,common,unova
497,serperior,common,unova
498,tepig,common,unova
499,pignite,common,unova
500,emboar,common,unova
501,oshawott,common,unova
502,dewott,common,unova
503,samurott,common,unova
504,patrat,common,unova
505,watchog,common,unova
506,lillipup,common,unova
507,herdier,common,unova
508,stoutland,common,unova
509,purrloin,common,unova
510,liepard,common,unova
511,pansage,common,unova
512,simisage,common,unova
513,pansear,common,unova
514,simisear,common,unova
515,panpour,common,unova
516,simipour,common,unova
517,munna,common,unova
518,musharna,common,unova
519,pidove,common,unova
520,tranquill,common,unova
521,unfezant,common,unova
522,blitzle,common,unova
523,zebstrika,common,unova
524,roggenrola,common,unova
525,boldore,common,unova
526,gigalith,common,unova
527,woobat,common,unova
528,swoobat,common,unova
529,drilbur,common,unova
530,excadrill,common,unova
531,audino,common,unova
532,timburr,common,unova
533,gurdurr,common,unova
534,conkeldurr,common,unova
535,tympole,common,unova
536,palpitoad,common,unova
537,seismitoad,common,unova
538,throh,common,unova
539,sawk,common,unova
540,sewaddle,common,unova
541,swadloon,common,unova
542,leavanny,common,unova
543,venipede,common,unova
544,whirlipede,common,unova
545,scolipede,common,unova
546,cottonee,common,unova
547,whimsicott,common,unova
548,petilil,common,unova
549,lilligant,common,unova
550,basculin,common,unova
551,sandile,common,unova
552,krokorok,common,unova
553,krookodile,common,unova
554,darumaka,common,unova
555,darmanitan,common,unova
556,maractus,common,unova
557,dwebble,common,unova
558,crustle,common,unova
559,scraggy,common,unova
560,scrafty,common,unova
561,sigilyph,common,unova
562,yamask,common,unova
563,cofagrigus,common,unova
564,tirtouga,common,unova
565,carracosta,common,unova
566,archen,common,unova
567,archeops,common,unova
568,trubbish,common,unova
569,garbodor,common,unova
570,zorua,common,unova
571,zoroark,common,unova
572,minccino,common,unova
573,cinccino,common,unova
574,gothita,common,unova
575,gothorita,common,unova
576,gothitelle,common,unova
577,solosis,common,unova
578,duosion,common,unova
579,reuniclus,common,unova
580,ducklett,common,unova
581,swanna,common,unova
582,vanillite,common,unova
583,vanillish,common,unova
584,vanilluxe,common,unova
585,deerling,common,unova
586,sawsbuck,common,unova
587,emolga,common,unova
588,karrablast,common,unova
589,escavalier,common,unova
590,foongus,common,unova
591,amoonguss,common,unova
592,frillish,common,unova
593,jellicent,common,unova
594,alomomola,common,unova
595,joltik,common,unova
596,galvantula,common,unova
597,ferroseed,common,unova
598,ferrothorn,common,unova
599,klink,common,unova
600,klang,common,unova
601,klinklang,common,unova
602,tynamo,common,unova
603,eelektrik,common,unova
604,eelektross,common,unova
605,elgyem,common,unova
606,beheeyem,common,unova
607,litwick,common,unova
608,lampent,common,unova
609,chandelure,common,unova
610,axew,common,unova
611,fraxure,common,unova
612,haxorus,common,unova
613,cubchoo,common,unova
614,beartic,common,unova
615,cryogonal,common,unova
616,shelmet,common,unova
617,accelgor,common,unova
618,stunfisk,common,unova
619,mienfoo,common,unova
620,mienshao,common,unova
621,druddigon,common,unova
622,golett,common,unova
623,golurk,common,unova
624,pawniard,common,unova
625,bisharp,common,unova
626,bouffalant,common,unova
627,rufflet,common,unova
628,braviary,common,unova
629,vullaby,common,unova
630,mandibuzz,common,unova
631,heatmor,common,unova
632,durant,common,unova
633,deino,common,unova
634,zweilous,common,unova
635,hydreigon,common,unova
636,larvesta,common,unova
637,volcarona,common,unova
638,cobalion,legendary,unova
639,terrakion,legendary,unova
640,virizion,legendary,unova
641,tornadus,legendary,unova
642,thundurus,legendary,unova
643,reshiram,legendary,unova
644,zekrom,legendary,unova
645,landorus,legendary,unova
646,kyurem,legendary,unova
647,keldeo,mythical,unova
648,meloetta,mythical,unova
649,genesect,mythical,unova
650,chespin,common,kalos
651,quilladin,common,kalos
652,chesnaught,common,kalos
653,fennekin,common,kalos
654,braixen,common,kalos
655,delphox,common,kalos
656,froakie,common,kalos
657,frogadier,common,kalos
658,greninja,common,kalos
659,bunnelby,common,kalos
660,diggersby,common,kalos
661,fletchling,common,kalos
662,fletchinder,common,kalos
663,talonflame,common,kalos
664,scatterbug,common,kalos
665,spewpa,common,kalos
666,vivillon,common,kalos
667,litleo,common,kalos
668,pyroar,common,kalos
669,flabebe,common,kalos
670,floette,common,kalos
671,florges,common,kalos
672,skiddo,common,kalos
673,gogoat,common,kalos
674,pancham,common,kalos
675,pangoro,common,kalos
676,furfrou,common,kalos
677,espurr,common,kalos
678,meowstic,common,kalos
679,honedge,common,kalos
680,doublade,common,kalos
681,aegislash,common,kalos
682,spritzee,common,kalos
683,aromatisse,common,kalos
684,swirlix,common,kalos
685,slurpuff,common,kalos
686,inkay,common,kalos
687,malamar,common,kalos
688,binacle,common,kalos
689,barbaracle,common,kalos
690,skrelp,common,kalos
691,dragalge,common,kalos
692,clauncher,common,kalos
693,clawitzer,common,kalos
694,helioptile,common,kalos
695,heliolisk,common,kalos
696,tyrunt,common,kalos
697,tyrantrum,common,kalos
698,amaura,common,kalos
699,aurorus,common,kalos
700,sylveon,common,kalos
701,hawlucha,common,kalos
702,dedenne,common,kalos
703,carbink,common,kalos
704,goomy,common,kalos
705,sliggoo,common,kalos
706,goodra,common,kalos
707,klefki,common,kalos
708,phantump,common,kalos
709,trevenant,common,kalos
710,pumpkaboo,common,kalos
711,gourgeist,common,kalos
712,bergmite,common,kalos
713,avalugg,common,kalos
714,noibat,common,kalos
715,noivern,common,kalos
716,xerneas,legendary,kalos
717,yveltal,legendary,kalos
718,zygarde,legendary,kalos
719,diancie,mythical,kalos
720,hoopa,mythical,kalos
721,volcanion,mythical,kalos
722,rowlet,common,alola
723,dartrix,common,alola
724,decidueye,common,alola
725,litten,common,alola
726,torracat,common,alola
727,incineroar,common,alola
728,popplio,common,alola
729,brionne,common,alola
730,primarina,common,alola
731,pikipek,common,alola
732,trumbeak,common,alola
733,toucannon,common,alola
734,yungoos,common,alola
735,gumshoos,common,alola
736,grubbin,common,alola
737,charjabug,common,alola
738,vikavolt,common,alola
739,crabrawler,common,alola
740,crabominable,common,alola
741,oricorio,common,alola
742,cutiefly,common,alola
743,ribombee,common,alola
744,rockruff,common,alola
745,lycanroc,common,alola
746,wishiwashi,common,alola
747,mareanie,common,alola
748,toxapex,common,alola
749,mudbray,common,alola
750,mudsdale,common,alola
751,dewpider,common,alola
752,araquanid,common,alola
753,fomantis,common,alola
754,lurantis,common,alola
755,morelull,common,alola
756,shiinotic,common,alola
757,salandit,common,alola
758,salazzle,common,alola
759,stufful,common,alola
760,bewear,common,alola
761,bounsweet,common,alola
762,steenee,common,alola
763,tsareena,common,alola
764,comfey,common,alola
765,oranguru,common,alola
766,passimian,common,alola
767,wimpod,common,alola
768,golisopod,common,alola
769,sandygast,common,alola
770,palossand,common,alola
771,pyukumuku,common,alola
772,type-null,legendary,alola
773,silvally,legendary,alola
774,minior,common,alola
775,komala,common,alola
776,turtonator,common,alola
777,togedemaru,common,alola
778,mimikyu,common,alola
779,bruxish,common,alola
780,drampa,common,alola
781,dhelmise,common,alola
782,jangmo-o,common,alola
783,hakamo-o,common,alola
784,kommo-o,common,alola
785,tapu-koko,legendary,alola
786,tapu-lele,legendary,alola
787,tapu-bulu,legendary,alola
788,tapu-fini,legendary,alola
789,cosmog,legendary,alola
790,cosmoem,legendary,alola
791,solgaleo,legendary,alola
792,lunala,legendary,alola
793,nihilego,ultra beast,alola
794,buzzwole,ultra beast,alola
795,pheromosa,ultra beast,alola
796,xurkitree,ultra beast,alola
797,celesteela,ultra beast,alola
798,kartana,ultra beast,alola
799,guzzlord,ultra beast,alola
800,necrozma,legendary,alola
801,magearna,mythical,alola
802,marshadow,mythical,alola
803,poipole,ultra beast,alola
804,naganadel,ultra beast,alola
805,stakataka,ultra beast,alola
806,blacephalon,ultra beast,alola
807,zeraora,mythical,alola
808,meltan,mythical,alola
809,melmetal,mythical,alola
810,grookey,common,galar
811,thwackey,common,galar
812,rillaboom,common,galar
813,scorbunny,common,galar
814,raboot,common,galar
815,cinderace,common,galar
816,sobble,common,galar
817,drizzile,common,galar
818,inteleon,common,galar
819,skwovet,common,galar
820,greedent,common,galar
821,rookidee,common,galar
822,corvisquire,common,galar
823,corviknight,common,galar
824,blipbug,common,galar
825,dottler,common,galar
826,orbeetle,common,galar
827,nickit,common,galar
828,thievul,common,galar
829,gossifleur,common,galar
830,eldegoss,common,galar
831,wooloo,common,galar
832,dubwool,common,galar
833,chewtle,common,galar
834,drednaw,common,galar
835,yamper,common,galar
836,boltund,common,galar
837,rolycoly,common,galar
838,carkol,common,galar
839,coalossal,common,galar
840,applin,common,galar
841,flapple,common,galar
842,appletun,common,galar
843,silicobra,common,galar
844,sandaconda,common,galar
845,cramorant,common,galar
846,arrokuda,common,galar
847,barraskewda,common,galar
848,toxel,common,galar
849,toxtricity,common,galar
850,sizzlipede,common,galar
851,centiskorch,common,galar
852,clobbopus,common,galar
853,grapploct,common,galar
854,sinistea,common,galar
855,polteageist,common,galar
856,hatenna,common,galar
857,hattrem,common,galar
858,hatterene,common,galar
859,impidimp,common,galar
860,morgrem,common,galar
861,grimmsnarl,common,galar
862,obstagoon,common,galar
863,perrserker,common,galar
864,cursola,common,galar
865,sirfetchd,common,galar
866,mr-rime,common,galar
867,runerigus,common,galar
868,milcery,common,galar
869,alcremie,common,galar
870,falinks,common,galar
871,pincurchin,common,galar
872,snom,common,galar
873,frosmoth,common,galar
874,stonjourner,common,galar
875,eiscue,common,galar
876,indeedee,common,galar
877,morpeko,common,galar
878,cufant,common,galar
879,copperajah,common,galar
880,dracozolt,common,galar
881,arctozolt,common,galar
882,dracovish,common,galar
883,arctovish,common,galar
884,duraludon,common,galar
885,dreepy,common,galar
886,drakloak,common,galar
887,dragapult,common,galar
888,zacian,legendary,galar
889,zamazenta,legendary,galar
890,eternatus,legendary,galar
891,kubfu,legendary,galar
892,urshifu,legendary,galar
893,zarude,mythical,galar
894,regieleki,legendary,galar
895,regidrago,legendary,galar
896,glastrier,legendary,galar
897,spectrier,legendary,galar
898,calyrex,legendary,galar
899,wyrdeer,common,galar
900,kleavor,common,galar
901,ursaluna,common,galar
902,basculegion,common,galar
903,sneasler,common,galar
904,overqwil,common,galar
905,enamorus,legendary,galar
906,sprigatito,common,paldea
907,floragato,common,paldea
908,meowscarada,common,paldea
909,fuecoco,common,paldea
910,crocalor,common,paldea
911,skeledirge,common,paldea
912,quaxly,common,paldea
913,quaxwell,common,paldea
914,quaquaval,common,paldea
915,lechonk,common,paldea
916,oinkologne,common,paldea
917,tarountula,common,paldea
918,spidops,common,paldea
919,nymble,common,paldea
920,lokix,common,paldea
921,pawmi,common,paldea
922,pawmo,common,paldea
923,pawmot,common,paldea
924,tandemaus,common,paldea
925,maushold,common,paldea
926,fidough,common,paldea
927,dachsbun,common,paldea
928,smoliv,common,paldea
929,dolliv,common,paldea
930,arboliva,common,paldea
931,squawkabilly,common,paldea
932,nacli,common,paldea
933,naclstack,common,paldea
934,garganacl,common,paldea
935,charcadet,common,paldea
936,armarouge,common,paldea
937,ceruledge,common,paldea
938,tadbulb,common,paldea
939,bellibolt,common,paldea
940,wattrel,common,paldea
941,kilowattrel,common,paldea
942,maschiff,common,paldea
943,mabosstiff,common,paldea
944,shroodle,common,paldea
945,grafaiai,common,paldea
946,bramblin,common,paldea
947,brambleghast,common,paldea
948,toedscool,common,paldea
949,toedscruel,common,paldea
950,klawf,common,paldea
951,capsakid,common,paldea
952,scovillain,common,paldea
953,rellor,common,paldea
954,rabsca,common,paldea
955,flittle,common,paldea
956,espathra,common,paldea
957,tinkatink,common,paldea
958,tinkatuff,common,paldea
959,tinkaton,common,paldea
960,wiglett,common,paldea
961,wugtrio,common,paldea
962,bombirdier,common,paldea
963,finizen,common,paldea
964,palafin,common,paldea
965,varoom,common,paldea
966,revavroom,common,paldea
967,cyclizar,common,paldea
968,orthworm,common,paldea
969,glimmet,common,paldea
970,glimmora,common,paldea
971,greavard,common,paldea
972,houndstone,common,paldea
973,flamigo,common,paldea
974,cetoddle,common,paldea
975,cetitan,common,paldea
976,veluza,common,paldea
977,dondozo,common,paldea
978,tatsugiri,common,paldea
979,annihilape,common,paldea
980,clodsire,common,paldea
981,farigiraf,common,paldea
982,dudunsparce,common,paldea
983,kingambit,common,paldea
984,great-tusk,common,paldea
985,scream-tail,common,paldea
986,brute-bonnet,common,paldea
987,flutter-mane,common,paldea
988,slither-wing,common,paldea
989,sandy-shocks,common,paldea
990,iron-treads,common,paldea
991,iron-bundle,common,paldea
992,iron-hands,common,paldea
993,iron-jugulis,common,paldea
994,iron-moth,common,paldea
995,iron-thorns,common,paldea
996,frigibax,common,paldea
997,arctibax,common,paldea
998,baxcalibur,common,paldea
999,gimmighoul,common,paldea
1000,gholdengo,common,paldea
1001,wo-chien,legendary,paldea
1002,chien-pao,legendary,paldea
1003,ting-lu,legendary,paldea
1004,chi-yu,legendary,paldea
1005,roaring-moon,common,paldea
1006,iron-valiant,common,paldea
1007,koraidon,legendary,paldea
1008,miraidon,legendary,paldea
1009,walking-wake,common,paldea
1010,iron-leaves,common,paldea
1011,dipplin,common,paldea
1012,poltchageist,common,paldea
1013,sinistcha,common,paldea
1014,okidogi,legendary,paldea
1015,munkidori,legendary,paldea
1016,fezandipiti,legendary,paldea
1017,ogerpon,legendary,paldea
1018,archaludon,common,paldea
1019,hydrapple,common,paldea
1020,gouging-fire,common,paldea
1021,raging-bolt,common,paldea
1022,iron-boulder,common,paldea
1023,iron-crown,common,paldea
1024,terapagos,legendary,paldea
1025,pecharunt,mythical,paldea
