pokemon_species,🇬🇧 (en),🇫🇷 (fr),🇪🇸 (es),🇩🇪 (de),🇮🇹 (it),🇯🇵 (ja),🇰🇷 (ko),🇨🇳 (zh-Hans),🇷🇺 (ru),🇲🇽 (es-MX),🇵🇹 (pt),🇳🇱 (nl),🇹🇷 (tr),🇸🇦 (ar),🇹🇭 (th),🇻🇳 (vi),🇵🇱 (pl),🇸🇪 (sv),🇩🇰 (da),🇳🇴 (no),🇫🇮 (fi),🇬🇷 (el),🇮🇩 (id),🇲🇾 (ms),🇵🇭 (fil),🇭🇺 (hu),🇨🇿 (cs),🇸🇰 (sk),🇷🇴 (ro),🇺🇦 (uk),🇭🇷 (hr),🇧🇬 (bg),🇪🇪 (et),🇱🇻 (lv),🇱🇹 (lt),🇸🇮 (sl),🇲🇹 (mt),🇦🇱 (sq),🇲🇰 (mk),🇧🇦 (bs),🇷🇸 (sr),🇨🇾 (cy),🇮🇪 (ga),🏴 (gd),🇰🇾 (kw),🇧🇷 (br),🇿🇦 (af),🇿🇦 (xh),🇿🇦 (zu),🇿🇦 (tn),🇿🇦 (st),🇿🇦 (ss),🇿🇦 (nr),🇿🇦 (nso),🇿🇦 (ts),🇿🇦 (ve),🇺🇬 (xog),🇺🇬 (lg),🇬🇭 (ak),🇬🇭 (tw),🇧🇫 (bm),🇲🇲 (my),🇰🇭 (km),🇱🇦 (lo),🇪🇹 (am),🇪🇹 (ti),🇪🇹 (om),🇸🇴 (so),🇰🇪 (sw),🇷🇼 (rw),🇳🇬 (yo),🇳🇬 (ig),🇳🇬 (ha),🇧🇩 (bn),🇮🇳 (pa),🇮🇳 (gu),🇮🇳 (or),🇮🇳 (ta),🇮🇳 (te),🇮🇳 (kn),🇮🇳 (ml),🇱🇰 (si),🇳🇵 (ne),🇧🇹 (dz),🇧🇾 (be),🇰🇿 (kk),🇺🇿 (uz),🇰🇬 (ky)
metapod,"Metapod, metapod",Chrysacier,Metapod,Safcon,Metapod,トランセル,단데기,铁甲蛹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfree,"Butterfree, butterfree, butterfree-gmax",Papilusion,Butterfree,Smettbo,Butterfree,バタフリー,버터플,巴大蝶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weedle,"Weedle, weedle",Aspicot,Weedle,Hornliu,Weedle,ビードル,뿔충이,独角虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kakuna,"Kakuna, kakuna",Coconfort,Kakuna,Kokuna,Kakuna,コクーン,딱충이,铁壳蛹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beedrill,"Beedrill, beedrill, beedrill-mega",Dardargnan,Beedrill,Bibor,Beedrill,スピアー,독침붕,大针蜂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pidgey,"Pidgey, pidgey",Roucool,Pidgey,Taubsi,Pidgey,ポッポ,구구,波波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pidgeotto,"Pidgeotto, pidgeotto",Roucoups,Pidgeotto,Tauboga,Pidgeotto,ピジョン,피죤,比比鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pidgeot,"Pidgeot, pidgeot, pidgeot-mega",Roucarnage,Pidgeot,Tauboss,Pidgeot,ピジョット,피죤투,大比鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rattata,"Rattata, rattata, rattata-alola",Rattata,Rattata,Rattfratz,Rattata,コラッタ,꼬렛,小拉达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raticate,"Raticate, raticate, raticate-alola, raticate-totem-alola",Rattatac,Raticate,Rattikarl,Raticate,ラッタ,레트라,拉达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spearow,"Spearow, spearow",Piafabec,Spearow,Habitak,Spearow,オニスズメ,깨비참,烈雀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fearow,"Fearow, fearow",Rapasdepic,Fearow,Ibitak,Fearow,オニドリル,깨비드릴조,大嘴雀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekans,"Ekans, ekans",Abo,Ekans,Rettan,Ekans,アーボ,아보,阿柏蛇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arbok,"Arbok, arbok",Arbok,Arbok,Arbok,Arbok,アーボック,아보크,阿柏怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pikachu,"Pikachu, pikachu, pikachu-alola-cap, pikachu-belle, pikachu-cosplay, pikachu-gmax, pikachu-hoenn-cap, pikachu-kalos-cap, pikachu-libre, pikachu-original-cap, pikachu-partner-cap, pikachu-phd, pikachu-pop-star, pikachu-rock-star, pikachu-sinnoh-cap, pikachu-starter, pikachu-unova-cap, pikachu-world-cap",Pikachu,Pikachu,Pikachu,Pikachu,ピカチュウ,피카츄,皮卡丘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raichu,"Raichu, raichu, raichu-alola",Raichu,Raichu,Raichu,Raichu,ライチュウ,라이츄,雷丘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandshrew,"Sandshrew, sandshrew, sandshrew-alola",Sabelette,Sandshrew,Sandan,Sandshrew,サンド,모래두지,穿山鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandslash,"Sandslash, sandslash, sandslash-alola",Sablaireau,Sandslash,Sandamer,Sandslash,サンドパン,고지,穿山王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidoran-f,"Nidoran♀, nidoran-f",Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,ニドラン♀,니드런♀,尼多兰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidorina,"Nidorina, nidorina",Nidorina,Nidorina,Nidorina,Nidorina,ニドリーナ,니드리나,尼多娜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidoqueen,"Nidoqueen, nidoqueen",Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,ニドクイン,니드퀸,尼多后,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidoran-m,"Nidoran♂, nidoran-m",Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,ニドラン♂,니드런♂,尼多朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidorino,"Nidorino, nidorino",Nidorino,Nidorino,Nidorino,Nidorino,ニドリーノ,니드리노,尼多力诺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nidoking,"Nidoking, nidoking",Nidoking,Nidoking,Nidoking,Nidoking,ニドキング,니드킹,尼多王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clefairy,"Clefairy, clefairy",Mélofée,Clefairy,Piepi,Clefairy,ピッピ,삐삐,皮皮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clefable,"Clefable, clefable",Mélodelfe,Clefable,Pixi,Clefable,ピクシー,픽시,皮可西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vulpix,"Vulpix, vulpix, vulpix-alola",Goupix,Vulpix,Vulpix,Vulpix,ロコン,식스테일,六尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ninetales,"Ninetales, ninetales, ninetales-alola",Feunard,Ninetales,Vulnona,Ninetales,キュウコン,나인테일,九尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jigglypuff,"Jigglypuff, jigglypuff",Rondoudou,Jigglypuff,Pummeluff,Jigglypuff,プリン,푸린,胖丁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wigglytuff,"Wigglytuff, wigglytuff",Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff,プクリン,푸크린,胖可丁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zubat,"Zubat, zubat",Nosferapti,Zubat,Zubat,Zubat,ズバット,주뱃,超音蝠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golbat,"Golbat, golbat",Nosferalto,Golbat,Golbat,Golbat,ゴルバット,골뱃,大嘴蝠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oddish,"Oddish, oddish",Mystherbe,Oddish,Myrapla,Oddish,ナゾノクサ,뚜벅쵸,走路草,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloom,"Gloom, gloom",Ortide,Gloom,Duflor,Gloom,クサイハナ,냄새꼬,臭臭花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vileplume,"Vileplume, vileplume",Rafflesia,Vileplume,Giflor,Vileplume,ラフレシア,라플레시아,霸王花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paras,"Paras, paras",Paras,Paras,Paras,Paras,パラス,파라스,派拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parasect,"Parasect, parasect",Parasect,Parasect,Parasek,Parasect,パラセクト,파라섹트,派拉斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venonat,"Venonat, venonat",Mimitoss,Venonat,Bluzuk,Venonat,コンパン,콘팡,毛球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venomoth,"Venomoth, venomoth",Aéromite,Venomoth,Omot,Venomoth,モルフォン,도나리,摩鲁蛾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diglett,"Diglett, diglett, diglett-alola",Taupiqueur,Diglett,Digda,Diglett,ディグダ,디그다,地鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dugtrio,"Dugtrio, dugtrio, dugtrio-alola",Triopikeur,Dugtrio,Digdri,Dugtrio,ダグトリオ,닥트리오,三地鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meowth,"Meowth, meowth, meowth-alola, meowth-galar, meowth-gmax",Miaouss,Meowth,Mauzi,Meowth,ニャース,나옹,喵喵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persian,"Persian, persian, persian-alola",Persian,Persian,Snobilikat,Persian,ペルシアン,페르시온,猫老大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psyduck,"Psyduck, psyduck",Psykokwak,Psyduck,Enton,Psyduck,コダック,고라파덕,可达鸭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golduck,"Golduck, golduck",Akwakwak,Golduck,Entoron,Golduck,ゴルダック,골덕,哥达鸭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mankey,"Mankey, mankey",Férosinge,Mankey,Menki,Mankey,マンキー,망키,猴怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primeape,"Primeape, primeape",Colossinge,Primeape,Rasaff,Primeape,オコリザル,성원숭,火暴猴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
growlithe,"Growlithe, growlithe, growlithe-hisui",Caninos,Growlithe,Fukano,Growlithe,ガーディ,가디,卡蒂狗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcanine,"Arcanine, arcanine, arcanine-hisui",Arcanin,Arcanine,Arkani,Arcanine,ウインディ,윈디,风速狗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poliwag,"Poliwag, poliwag",Ptitard,Poliwag,Quapsel,Poliwag,ニョロモ,발챙이,蚊香蝌蚪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poliwhirl,"Poliwhirl, poliwhirl",Têtarte,Poliwhirl,Quaputzi,Poliwhirl,ニョロゾ,슈륙챙이,蚊香君,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poliwrath,"Poliwrath, poliwrath",Tartard,Poliwrath,Quappo,Poliwrath,ニョロボン,강챙이,蚊香泳士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abra,"Abra, abra",Abra,Abra,Abra,Abra,ケーシィ,캐이시,凯西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadabra,"Kadabra, kadabra",Kadabra,Kadabra,Kadabra,Kadabra,ユンゲラー,윤겔라,勇基拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alakazam,"Alakazam, alakazam, alakazam-mega",Alakazam,Alakazam,Simsala,Alakazam,フーディン,후딘,胡地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machop,"Machop, machop",Machoc,Machop,Machollo,Machop,ワンリキー,알통몬,腕力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machoke,"Machoke, machoke",Machopeur,Machoke,Maschock,Machoke,ゴーリキー,근육몬,豪力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machamp,"Machamp, machamp, machamp-gmax",Mackogneur,Machamp,Machomei,Machamp,カイリキー,괴력몬,怪力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bellsprout,"Bellsprout, bellsprout",Chétiflor,Bellsprout,Knofensa,Bellsprout,マダツボミ,모다피,喇叭芽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weepinbell,"Weepinbell, weepinbell",Boustiflor,Weepinbell,Ultrigaria,Weepinbell,ウツドン,우츠동,口呆花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victreebel,"Victreebel, victreebel",Empiflor,Victreebel,Sarzenia,Victreebel,ウツボット,우츠보트,大食花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentacool,"Tentacool, tentacool",Tentacool,Tentacool,Tentacha,Tentacool,メノクラゲ,왕눈해,玛瑙水母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentacruel,"Tentacruel, tentacruel",Tentacruel,Tentacruel,Tentoxa,Tentacruel,ドククラゲ,독파리,毒刺水母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geodude,"Geodude, geodude, geodude-alola",Racaillou,Geodude,Kleinstein,Geodude,イシツブテ,꼬마돌,小拳石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graveler,"Graveler, graveler, graveler-alola",Gravalanch,Graveler,Georok,Graveler,ゴローン,데구리,隆隆石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golem,"Golem, golem, golem-alola",Grolem,Golem,Geowaz,Golem,ゴローニャ,딱구리,隆隆岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ponyta,"Ponyta, ponyta, ponyta-galar",Ponyta,Ponyta,Ponita,Ponyta,ポニータ,포니타,小火马,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapidash,"Rapidash, rapidash, rapidash-galar",Galopa,Rapidash,Gallopa,Rapidash,ギャロップ,날쌩마,烈焰马,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slowpoke,"Slowpoke, slowpoke, slowpoke-galar",Ramoloss,Slowpoke,Flegmon,Slowpoke,ヤドン,야돈,呆呆兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slowbro,"Slowbro, slowbro, slowbro-galar, slowbro-mega",Flagadoss,Slowbro,Lahmus,Slowbro,ヤドラン,야도란,呆壳兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnemite,"Magnemite, magnemite",Magnéti,Magnemite,Magnetilo,Magnemite,コイル,코일,小磁怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magneton,"Magneton, magneton",Magnéton,Magneton,Magneton,Magneton,レアコイル,레어코일,三合一磁怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farfetchd,"Farfetch’d, farfetchd, farfetchd-galar",Canarticho,Farfetch’d,Porenta,Farfetch’d,カモネギ,파오리,大葱鸭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doduo,"Doduo, doduo",Doduo,Doduo,Dodu,Doduo,ドードー,두두,嘟嘟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
